from,to,distance_m,weight
Z01,Z02,36.52,0.0007
Z01,Z04,6.88,0.2527
Z01,Z05,37.16,0.0006
Z01,Z07,13.76,0.0638
Z01,Z08,39.03,0.0004
Z02,Z03,36.59,0.0007
Z02,Z04,37.16,0.0006
Z02,Z05,6.88,0.2527
Z02,Z06,37.23,0.0006
Z02,Z07,39.03,0.0004
Z02,Z08,13.76,0.0638
Z02,Z09,39.09,0.0004
Z03,Z05,37.23,0.0006
Z03,Z06,6.88,0.2527
Z03,Z08,39.09,0.0004
Z03,Z09,13.76,0.0638
Z04,Z05,36.52,0.0007
Z04,Z07,6.88,0.2527
Z04,Z08,37.16,0.0006
Z05,Z06,36.59,0.0007
Z05,Z07,37.16,0.0006
Z05,Z08,6.88,0.2527
Z05,Z09,37.23,0.0006
Z06,Z08,37.23,0.0006
Z06,Z09,6.88,0.2527
Z07,Z08,36.52,0.0007
Z08,Z09,36.59,0.0007
