zone_id,detection_id,class_id,class_label,confidence,bbox_x,bbox_y,bbox_w,bbox_h,area_px,contour_fill_ratio
Z01,1,0,General_Lesion,0.4122,168,375,50,25,427,0.342
Z01,2,0,General_Lesion,0.45,0,360,46,40,935,0.5084
Z01,3,2,LeafSpot_Brown,0.5857,445,346,49,54,1664,0.6291
Z01,4,0,General_Lesion,0.45,462,323,29,13,176,0.4668
Z01,5,0,General_Lesion,0.433,0,323,37,35,520,0.4015
Z01,6,0,General_Lesion,0.3782,41,303,116,85,2413,0.2447
Z01,7,0,General_Lesion,0.4454,0,271,37,41,662,0.4367
Z01,8,2,LeafSpot_Brown,0.5803,501,245,32,48,858,0.5589
Z01,9,2,LeafSpot_Brown,0.4745,372,237,121,163,4569,0.2317
Z01,10,2,LeafSpot_Brown,0.5845,265,232,106,168,9354,0.5253
Z01,11,2,LeafSpot_Brown,0.5742,311,172,25,22,267,0.4855
Z01,12,3,Chlorosis_Yellow,0.5796,420,167,113,59,2887,0.433
Z01,13,0,General_Lesion,0.3772,278,149,38,70,643,0.2419
Z01,14,0,General_Lesion,0.4064,183,62,88,91,2607,0.3255
Z01,15,2,LeafSpot_Brown,0.4742,411,45,39,34,201,0.152
Z01,16,0,General_Lesion,0.4086,0,25,162,228,12247,0.3316
Z01,17,0,General_Lesion,0.4255,259,4,64,67,1629,0.3799
Z01,18,2,LeafSpot_Brown,0.5967,427,0,106,163,10082,0.5835
Z02,1,2,LeafSpot_Brown,0.5765,228,218,52,44,1034,0.4521
Z02,2,0,General_Lesion,0.3918,187,201,43,47,573,0.2838
Z02,3,2,LeafSpot_Brown,0.5541,341,195,39,16,239,0.3838
Z02,4,2,LeafSpot_Brown,0.6243,464,193,69,64,1553,0.3518
Z02,5,2,LeafSpot_Brown,0.5716,452,148,46,38,402,0.23
Z02,6,2,LeafSpot_Brown,0.5223,0,148,140,123,5514,0.3202
Z02,7,2,LeafSpot_Brown,0.5284,35,141,498,259,30422,0.2359
Z02,8,3,Chlorosis_Yellow,0.5455,267,138,55,22,441,0.3645
Z02,9,3,Chlorosis_Yellow,0.4935,145,131,119,62,2035,0.2758
Z02,10,0,General_Lesion,0.3753,18,123,51,24,289,0.2365
Z02,11,2,LeafSpot_Brown,0.576,510,120,23,28,282,0.4379
Z02,12,2,LeafSpot_Brown,0.5146,478,94,33,26,250,0.292
Z02,13,0,General_Lesion,0.4233,491,47,33,15,185,0.3737
Z02,14,0,General_Lesion,0.3884,441,30,54,56,829,0.2741
Z02,15,0,General_Lesion,0.4109,411,25,23,36,280,0.3382
Z02,16,2,LeafSpot_Brown,0.5689,470,0,21,36,292,0.3862
Z02,17,0,General_Lesion,0.45,0,0,433,154,37437,0.5614
Z03,1,2,LeafSpot_Brown,0.6809,58,283,110,117,4144,0.322
Z03,2,2,LeafSpot_Brown,0.7141,0,270,58,34,649,0.3294
Z03,3,2,LeafSpot_Brown,0.5408,136,195,55,53,1099,0.3772
Z03,4,2,LeafSpot_Brown,0.6574,0,189,28,32,421,0.4699
Z03,5,2,LeafSpot_Brown,0.5185,27,186,67,33,363,0.1644
Z03,6,2,LeafSpot_Brown,0.4746,103,177,27,32,198,0.2297
Z03,7,2,LeafSpot_Brown,0.5581,54,139,35,31,338,0.312
Z03,8,2,LeafSpot_Brown,0.4833,137,106,57,51,725,0.2496
Z03,9,2,LeafSpot_Brown,0.6197,127,100,407,300,69204,0.5668
Z03,10,2,LeafSpot_Brown,0.5099,327,62,56,51,729,0.2554
Z03,11,2,LeafSpot_Brown,0.5067,364,26,47,34,425,0.266
Z03,12,2,LeafSpot_Brown,0.5004,421,23,21,29,179,0.2939
Z03,13,0,General_Lesion,0.45,95,20,13,31,235,0.5831
Z03,14,2,LeafSpot_Brown,0.5076,285,13,24,25,170,0.2833
Z03,15,2,LeafSpot_Brown,0.4602,368,0,49,25,218,0.1784
Z03,16,0,General_Lesion,0.4219,233,0,18,29,193,0.3697
Z04,1,0,General_Lesion,0.4495,317,373,31,27,375,0.4486
Z04,2,0,General_Lesion,0.3751,460,365,61,35,504,0.2361
Z04,3,0,General_Lesion,0.45,488,284,17,20,204,0.6015
Z04,4,2,LeafSpot_Brown,0.5923,319,269,36,72,1526,0.5889
Z04,5,0,General_Lesion,0.434,275,211,23,44,409,0.4042
Z04,6,2,LeafSpot_Brown,0.5477,361,210,63,190,4162,0.3477
Z04,7,0,General_Lesion,0.4116,0,118,17,42,243,0.3403
Z04,8,0,General_Lesion,0.4039,187,109,47,28,419,0.3184
Z04,9,2,LeafSpot_Brown,0.5797,420,98,113,109,4997,0.4057
Z04,10,2,LeafSpot_Brown,0.5768,444,62,44,22,495,0.5114
Z04,11,2,LeafSpot_Brown,0.5914,446,0,72,66,2667,0.5612
Z04,12,2,LeafSpot_Brown,0.5164,380,0,53,188,2805,0.2815
Z04,13,0,General_Lesion,0.3921,79,0,287,400,32660,0.2845
Z04,14,0,General_Lesion,0.4165,27,0,60,48,1020,0.3543
Z05,1,0,General_Lesion,0.4424,405,358,128,42,2302,0.4283
Z05,2,0,General_Lesion,0.4045,500,333,33,32,338,0.3201
Z05,3,2,LeafSpot_Brown,0.6118,46,326,118,74,2947,0.3376
Z05,4,0,General_Lesion,0.4212,490,281,31,15,171,0.3677
Z05,5,0,General_Lesion,0.3736,299,184,100,52,1204,0.2316
Z05,6,0,General_Lesion,0.441,453,174,80,101,3427,0.4242
Z05,7,0,General_Lesion,0.3929,334,146,26,23,171,0.2868
Z05,8,2,LeafSpot_Brown,0.4904,404,133,129,61,1533,0.1949
Z05,9,3,Chlorosis_Yellow,0.501,378,117,40,46,429,0.2334
Z05,10,2,LeafSpot_Brown,0.6823,467,64,61,52,833,0.2628
Z05,11,2,LeafSpot_Brown,0.5707,18,0,377,328,48187,0.3897
Z05,12,2,LeafSpot_Brown,0.544,0,0,100,71,2240,0.3155
Z06,1,3,Chlorosis_Yellow,0.6413,203,293,32,26,308,0.3702
Z06,2,0,General_Lesion,0.3902,469,291,65,109,1977,0.279
Z06,3,2,LeafSpot_Brown,0.7264,46,50,42,24,283,0.2808
Z06,4,2,LeafSpot_Brown,0.5773,263,0,271,250,37340,0.5512
Z06,5,0,General_Lesion,0.4065,253,0,57,43,798,0.3258
Z06,6,2,LeafSpot_Brown,0.6149,0,0,231,374,34794,0.4027
