time,temp_c,humidity_pct,dewpoint_c,precipitation_mm,wind_speed_kmh,wind_dir_deg,soil_temp_c,soil_moisture_pct
2023-07-02T00:00,27.2,81,23.7,0.0,5.8,240,28.0,0.371
2023-07-02T01:00,26.4,87,24.1,0.0,5.7,252,27.8,0.37
2023-07-02T02:00,25.9,90,24.1,0.0,5.9,218,27.5,0.37
2023-07-02T03:00,25.5,91,24.0,0.0,5.9,191,27.3,0.37
2023-07-02T04:00,25.3,92,23.9,0.0,5.6,207,27.1,0.369
2023-07-02T05:00,26.1,89,24.1,0.0,4.2,211,29.3,0.364
2023-07-02T06:00,27.2,85,24.6,0.0,2.1,239,28.9,0.364
2023-07-02T07:00,28.6,80,24.8,0.0,2.5,278,29.2,0.363
2023-07-02T08:00,30.0,72,24.3,0.1,6.8,273,30.0,0.363
2023-07-02T09:00,31.1,67,24.2,0.1,5.4,270,31.0,0.361
2023-07-02T10:00,31.7,65,24.2,0.1,6.2,260,32.1,0.359
2023-07-02T11:00,32.1,62,23.8,0.1,5.9,259,32.6,0.358
2023-07-02T12:00,32.9,59,23.7,0.2,5.8,277,33.3,0.357
2023-07-02T13:00,33.3,59,24.2,0.4,4.8,257,33.9,0.358
2023-07-02T14:00,32.5,61,23.9,0.2,8.9,212,34.0,0.357
2023-07-02T15:00,31.2,67,24.3,1.1,9.3,254,33.3,0.366
2023-07-02T16:00,30.5,71,24.7,0.5,5.2,326,32.2,0.37
2023-07-02T17:00,31.2,67,24.3,0.0,3.9,292,31.7,0.345
2023-07-02T18:00,30.0,83,26.7,0.0,3.4,342,31.2,0.345
2023-07-02T19:00,30.1,72,24.6,0.0,1.1,18,30.4,0.345
2023-07-02T20:00,29.2,78,24.9,0.0,1.8,323,29.9,0.344
2023-07-02T21:00,28.6,81,25.0,0.0,3.7,281,29.5,0.344
2023-07-02T22:00,27.4,89,25.5,0.0,5.6,285,29.1,0.344
2023-07-02T23:00,27.0,90,25.3,0.0,5.2,286,28.8,0.344
2023-07-03T00:00,26.9,88,24.8,0.0,4.2,290,28.5,0.344
2023-07-03T01:00,26.5,90,24.8,0.0,3.6,307,28.3,0.344
2023-07-03T02:00,26.1,93,24.9,0.0,4.1,315,28.1,0.344
2023-07-03T03:00,25.8,95,24.9,0.0,3.9,326,27.9,0.344
2023-07-03T04:00,25.7,95,24.8,0.0,3.6,315,27.7,0.344
2023-07-03T05:00,26.4,93,25.2,0.0,3.4,288,30.3,0.338
2023-07-03T06:00,27.8,87,25.4,0.0,2.9,353,29.8,0.338
2023-07-03T07:00,29.4,79,25.5,0.0,2.8,310,30.1,0.338
2023-07-03T08:00,30.9,71,25.0,0.0,3.7,281,30.9,0.336
2023-07-03T09:00,31.9,66,24.7,0.0,2.8,310,31.7,0.335
2023-07-03T10:00,33.1,62,24.7,0.0,2.9,7,32.9,0.333
2023-07-03T11:00,33.9,58,24.5,0.0,1.6,27,34.0,0.331
2023-07-03T12:00,34.1,56,24.1,0.0,1.5,104,34.5,0.328
2023-07-03T13:00,34.7,53,23.8,0.0,0.4,90,34.5,0.327
2023-07-03T14:00,30.2,76,25.4,1.1,12.4,296,33.7,0.335
2023-07-03T15:00,31.2,69,24.9,0.6,2.5,315,32.7,0.34
2023-07-03T16:00,31.9,66,24.8,0.0,2.0,225,32.7,0.339
2023-07-03T17:00,32.8,62,24.6,0.0,4.4,9,31.7,0.342
2023-07-03T18:00,31.2,77,26.6,0.0,3.4,58,31.4,0.341
2023-07-03T19:00,29.6,81,25.9,0.0,6.1,40,30.7,0.341
2023-07-03T20:00,29.0,83,25.8,0.0,6.0,57,30.2,0.341
2023-07-03T21:00,28.2,86,25.6,0.0,5.1,45,29.8,0.34
2023-07-03T22:00,28.0,87,25.6,0.0,4.3,42,29.4,0.34
2023-07-03T23:00,27.8,85,25.1,0.0,3.7,61,29.2,0.34
2023-07-04T00:00,26.7,83,23.6,4.1,11.0,293,28.7,0.392
2023-07-04T01:00,24.7,94,23.6,4.3,8.4,25,27.7,0.42
2023-07-04T02:00,24.9,97,24.4,1.0,4.6,39,27.2,0.421
2023-07-04T03:00,25.3,96,24.6,0.1,1.9,338,26.9,0.413
2023-07-04T04:00,25.2,96,24.6,0.0,3.3,13,26.8,0.407
2023-07-04T05:00,26.5,92,25.1,0.0,2.9,30,31.5,0.341
2023-07-04T06:00,27.8,86,25.3,0.0,4.1,52,30.1,0.34
2023-07-04T07:00,28.6,83,25.3,0.0,0.8,333,29.8,0.34
2023-07-04T08:00,29.6,78,25.4,0.0,2.9,83,30.2,0.339
2023-07-04T09:00,31.1,74,26.0,0.0,3.6,174,31.3,0.337
2023-07-04T10:00,32.4,71,26.4,0.0,7.3,160,32.6,0.335
2023-07-04T11:00,32.5,68,26.0,0.0,5.5,191,33.1,0.333
2023-07-04T12:00,33.2,65,25.9,0.2,6.3,193,34.0,0.332
2023-07-04T13:00,32.8,68,26.0,0.8,3.5,156,34.4,0.336
2023-07-04T14:00,30.5,77,26.0,1.0,9.7,195,33.4,0.344
2023-07-04T15:00,30.3,74,25.0,0.1,9.4,162,33.0,0.343
2023-07-04T16:00,30.2,75,25.2,0.0,8.6,182,32.7,0.342
2023-07-04T17:00,34.1,57,24.3,0.0,7.1,15,33.0,0.33
2023-07-04T18:00,31.2,69,24.7,0.1,6.8,93,32.1,0.33
2023-07-04T19:00,29.5,76,24.8,0.0,3.9,124,31.3,0.33
2023-07-04T20:00,28.1,87,25.7,0.1,4.0,175,30.5,0.331
2023-07-04T21:00,26.5,89,24.6,0.7,6.3,239,29.5,0.336
2023-07-04T22:00,26.2,93,25.0,0.1,2.6,214,28.7,0.336
2023-07-04T23:00,25.6,95,24.7,0.1,4.5,119,28.1,0.337
2023-07-05T00:00,25.2,95,24.4,0.2,4.0,243,27.6,0.339
2023-07-05T01:00,24.9,97,24.5,0.0,2.5,8,27.2,0.339
2023-07-05T02:00,25.1,95,24.3,0.0,1.8,127,27.0,0.338
2023-07-05T03:00,24.8,97,24.3,0.0,2.0,45,26.8,0.338
2023-07-05T04:00,24.4,98,24.1,0.0,3.3,77,26.6,0.338
2023-07-05T05:00,26.0,98,25.6,0.0,2.2,180,29.4,0.337
2023-07-05T06:00,26.9,95,25.9,0.1,5.2,146,28.9,0.337
2023-07-05T07:00,27.4,93,26.2,0.1,4.0,180,28.8,0.337
2023-07-05T08:00,28.8,87,26.5,0.1,2.3,108,29.5,0.338
2023-07-05T09:00,30.3,81,26.6,0.2,6.0,123,30.7,0.338
2023-07-05T10:00,31.2,74,26.1,0.2,8.2,128,31.4,0.337
2023-07-05T11:00,31.9,70,25.8,0.1,8.7,135,32.1,0.336
2023-07-05T12:00,31.6,69,25.2,0.0,10.6,152,32.4,0.334
2023-07-05T13:00,32.3,67,25.3,0.1,5.5,169,32.8,0.333
2023-07-05T14:00,32.1,68,25.5,2.5,5.9,191,32.9,0.358
2023-07-05T15:00,30.0,76,25.4,1.6,11.2,178,32.5,0.373
2023-07-05T16:00,30.2,76,25.5,0.0,5.2,102,32.0,0.371
2023-07-05T17:00,30.6,74,25.4,0.2,4.8,27,32.8,0.316
2023-07-05T18:00,30.0,80,26.2,0.0,3.6,360,31.9,0.315
2023-07-05T19:00,29.7,80,25.9,0.0,4.1,52,31.0,0.315
2023-07-05T20:00,28.1,87,25.8,0.6,4.8,138,30.4,0.322
2023-07-05T21:00,26.7,95,25.8,11.6,8.2,157,29.4,0.42
2023-07-05T22:00,26.5,95,25.7,0.3,4.1,315,28.6,0.413
2023-07-05T23:00,26.2,96,25.5,0.0,2.3,342,28.2,0.406
2023-07-06T00:00,26.0,97,25.5,0.0,3.8,311,27.9,0.401
2023-07-06T01:00,25.8,96,25.2,1.1,3.7,169,27.7,0.413
2023-07-06T02:00,25.6,96,24.9,1.7,4.3,132,27.4,0.419
2023-07-06T03:00,25.2,96,24.6,2.3,4.5,104,27.1,0.438
2023-07-06T04:00,25.1,96,24.4,1.6,6.1,140,26.9,0.425
2023-07-06T05:00,24.8,97,24.3,0.1,9.6,110,29.0,0.416
2023-07-06T06:00,24.9,97,24.3,0.7,3.4,58,27.8,0.417
2023-07-06T07:00,25.2,93,24.0,0.9,3.8,41,27.3,0.419
2023-07-06T08:00,26.2,89,24.3,0.5,2.1,59,27.6,0.415
2023-07-06T09:00,27.2,86,24.7,0.1,2.1,211,28.2,0.41
2023-07-06T10:00,28.9,78,24.7,0.0,4.2,149,29.3,0.404
2023-07-06T11:00,29.7,74,24.6,0.0,1.9,202,30.2,0.399
2023-07-06T12:00,31.6,66,24.4,0.0,2.2,171,31.7,0.394
2023-07-06T13:00,32.6,61,24.1,0.0,2.5,188,32.9,0.389
2023-07-06T14:00,33.2,57,23.5,0.0,1.1,90,33.4,0.385
2023-07-06T15:00,32.2,60,23.5,0.1,3.6,180,33.4,0.383
2023-07-06T16:00,30.7,67,23.8,0.0,3.5,246,33.0,0.38
2023-07-06T17:00,29.0,85,26.1,6.9,8.1,193,29.9,0.422
2023-07-06T18:00,27.7,88,25.5,2.2,7.9,231,29.3,0.432
2023-07-06T19:00,26.3,94,25.3,5.2,6.6,299,28.5,0.431
2023-07-06T20:00,26.1,91,24.6,5.7,2.3,129,28.0,0.439
2023-07-06T21:00,25.5,94,24.5,4.3,3.7,61,27.5,0.439
2023-07-06T22:00,25.2,95,24.4,3.6,3.8,41,27.1,0.436
2023-07-06T23:00,25.2,94,24.2,0.7,3.1,69,26.9,0.434
2023-07-07T00:00,25.2,94,24.2,0.2,2.3,141,26.8,0.429
2023-07-07T01:00,25.2,94,24.1,0.1,4.0,90,26.6,0.426
2023-07-07T02:00,25.0,96,24.4,0.1,5.1,129,26.5,0.423
2023-07-07T03:00,24.9,97,24.4,0.3,4.6,135,26.4,0.423
